current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
DC Analyst | Python Full stack Developer |  Corpay ,Deloitte,6.9,"Full-Stack Development, Databricks, Time Series Forecasting, Azure Data Factory, vertex ai, Google Cloud Platform (GCP), RAG, Databricks Products, Python (Programming Language), Apache Spark, GitHub, PySpark, Large Language Models (LLM), EDA, Data Engineering, docker, Apache Airflow, AWS SageMaker, Code Review, Data Science, Data Analysis, Amazon Web Services (AWS), Pandas (Software), Prompt Engineering, Business Analysis, SQL, Transact-SQL (T-SQL), Git, Microsoft Excel, Machine Learning, MATLAB, Microsoft Azure, Bootstrap, HTML, Computer-Aided Design (CAD), Autodesk Fusion 360, AutoCAD, Microsoft Office, Cascading Style Sheets (CSS), Time Management, English, German, Battery Management Systems, Hybrid Electric Vehicles, Electric Vehicles, Analytical Skills, Artificial Intelligence (AI), Artificial Intelligence for Business, Generative AI",Deloitte Data Science,DataCamp,"Improve customer and agent satisfaction with Agent Assist (No code - low code), SI Associate , AI Guild Natural Language Processing Certificate, GEN AI ADVANCED PROMPT ENGINEERING, GEN AI FRAMEWORKS AND TOOLS, Develop Advanced Enterprise Search and Conversation Applications Skill Badge, Develop GenAI Apps with Gemini and Streamlit Skill Badge, Integrate Vertex AI Search and Conversation into Voice and Chat Apps Skill Badge, Build and Deploy a Generative AI Solution Using a RAG Framework Skill Badge, Professional Machine Learning Engineer Certification, Text Prompt Engineering Techniques Skill Badge, Partner Training - Advantages of Gen AI & LLM on Databricks, Dataiku Core Designer, Getting Started with Deep Learning, Generative AI with Vertex AI: Text Prompt Design, Getting Started with Deep Learning, AWS Certified Solutions Architect – Associate, Data Scientist Professional, Deloitte Data Scientist Professional, AWS Certified Developer – Associate, Data Engineer Associate, Databricks Certified Machine Learning Associate, Databricks Certified Associate Developer for Apache Spark 3.0, What Is Generative AI?, Academy Accreditation - Generative AI Fundamentals, Databricks Certified Data Engineer Associate v3, Microsoft Certified: Azure Developer Associate, GCP Associate Cloud Engineer, Tableau Desktop Specialist, Databricks Certified Data Engineer Associate v2, Cloud Digital Leader, Innovating with Data and Google Cloud, Matillion Academy | Building a Data Warehouse using Matillion , Python Essentials 2, Academy Accreditation - Databricks Lakehouse Fundamentals, Python Essentials 1, AWS Certified Cloud Practitioner, Tableau Desktop Specialist, Microsoft Certified: Azure Data Fundamentals, Microsoft Certified: Azure Fundamentals, Learn the Basics of Regular Expressions Course, Microsoft Certified: Azure AI Fundamentals, Learn Big Data: The Hadoop Ecosystem Masterclass, Snowflake Decoded - Fundamentals and hands on Training , Tableau 10 Desktop Training, Welcome to the Age of With: AI Fundamentals, Learn Asynchronous JavaScript Course, Learn React Course, Learn SQL Course, Build a Website with HTML, CSS, and Github Pages Skill Path, Building Interactive JavaScript Websites Course, Learn Intermediate JavaScript Course, Learn Intermediate JavaScript Course, Learn JavaScript Course, Learn JavaScript Unit Testing Course, Nasscom Python Excellence Certificate, How to Deploy a Website Course, Learn Bash Scripting Course, Learn Bootstrap Course, Learn CSS Course, Learn Git Course, Learn HTML Course, Learn the Command Line Course, Learn How to Code Course, Nasscom Java Excellence Certificate, Essential Math for Machine Learning: Python Edition, How to Work Smarter, Not Harder: Save Time and Money and Increase Productivity, Introduction to Geometric Dimensioning and Tolerancing, Gmail Quick Tips, Inventory Management Foundations, Learning Python, Stay Lean with Kanban, Nasscom Java Completion Certificate, Learn Big Data: The Hadoop Ecosystem Masterclass, Start and Improve Your Business (SIYB), Design/CBT-Solid edge-Foundation, Catia, Delmia & Simulia, Fundamentals of Surface Engineering: Mechanisms,Processes and Characterizations, Design and Development of E-
Mobility Vehicles, Synchronous Modeling And Parametric Design, Essentials For NX- Designers, Fusion 360 workshop
, NX Basic Design, Certified Professional AutoCAD , IT Hardware and Networking, Databricks Certified Data Engineer Associate, Academy Accreditation - Databricks Lakehouse Fundamentals, Academy Accreditation - Databricks Lakehouse Fundamentals, Nasscom Java Completion Certificate, Nasscom Python Completion Certificate",Bengaluru,Karnataka,India,data_scientists
Data Scientist,Applied Materials,3.4,"Linear Algebra, Optimization, Statistics, Big Data, CUDA, Artificial Intelligence (AI), Data Science, C++, Machine Learning, Data Annotation, Image Processing, OpenCV, Computer Vision, TensorFlow, Python (Programming Language), PyTorch, Neural Networks, Deep Learning, Convolutional Neural Networks (CNN), OWASP",Master of Technology - MTech,"Indian Institute of Technology, Palakkad","Learning the OWASP Top 10, Data Science for Business | 6 Real-world Case Studies, Face Recognition Web App with Machine Learning in Flask, Complete Tensorflow 2 and Keras Deep Learning Bootcamp",Bengaluru,Karnataka,India,data_scientists
Senior Python developer,UST,6.8,"Pandas (Software), Google Cloud Platform (GCP), docker, Kubernetes, IBM Cloud, IBM Cloudant, Git, GitHub, Git BASH, Django, Data Structures, Hive, Data Analysis, Data Science, Automotive, Kafka Streams, Data Streaming, Python (Programming Language), MySQL, Programming, Project Management, C, C++, HTML, SQL, PowerPoint, Windows, Linux, Cascading Style Sheets (CSS), JavaScript, sql, Customer Service, Leadership, Management, Team Leadership, python odoo",Bachelor of Computer Science,University of Calicut,,Bengaluru,Karnataka,India,data_scientists
Data Scientist,Anko GCC,5.2,"Attention to Detail, Databricks Products, A/B Testing, Key Performance Indicators, Optimization, Automation, Logical Reasoning, Project Delivery, Statistical Modeling, ML, Identifying Trends, Reporting & Analysis, Analytical Solutions, Predictive Modeling, Ad Hoc Analysis, Data Visualization, Data Manipulation, Model Development, Problem Solving, Scikit-Learn, NumPy, Time Series Forecasting, Forecasting, Feature Engineering, Mathematics, Data Preparation, Data Quality, Critical Thinking, Thinking Skills, Descriptive Analysis, Oral Communication, Analytical Skills, Machine Learning Algorithms, Data Modeling, Statistics, Algorithms, Computer Science, Trend Analysis, Teamwork, Logistic Regression, Linear Regression, Demand Forecasting, SQL, Amazon Web Services (AWS), AWS SageMaker, Machine Learning, Exploratory Data Analysis, Time Series Analysis, EDA, Communication, Presentations, Python (Programming Language), Data Science",P G Diploma,International Institute of Information Technology Bangalore,"Power BI, Introduction to Cloud Computing on AWS for Beginners [2023], Snowflake, Databases and SQL for Data Sciences, Machine Learning, Machine Learning, Python for Data Science and AI",Bengaluru,Karnataka,India,data_scientists
Data Scientist,Caterpillar Inc.,7.2,"Large Language Models (LLM), Llama, ChatGPT, Dataiku DSS, Web Scraping, Time Series Analysis, ARIMA, Prophet, Azure Databricks, Apache Spark, Oracle Database, Statistical Data Analysis, Data Visualization, EDA, Data Science, Machine Learning Algorithms, Data Analysis, Business Analysis, Microsoft Excel, Project Management, Research, Testing, Software Development Life Cycle (SDLC), Android Development, Manual Testing, Regression Testing, Functional Testing, Agile & Waterfall Methodologies, Test Automation, Analytical Skills, Python (Programming Language), R (Programming Language), SQL, Java, Selenium, Leadership",PG Dimploma in Data Science,International Institute of Information Technology Bangalore,,Bengaluru,Karnataka,India,data_scientists
Consultant,Genpact,2.7,"MLflow, Azure Data Lake, MLOps, Apache Spark, Apache Spark ML, SQL, Microsoft Azure Machine Learning, Automated Machine Learning (AutoML), Machine Learning, Relational Databases, Databases, Data Visualization, Data Analytics, Analytics, Business Analysis, Data Science",Master of Computer Applications - MCA,Manipal Institute of Technology,"Databricks certified Machine Learning Professional, Databricks Certified Machine Learning Associate, SQL (Intermediate)",Bengaluru,Karnataka,India,data_scientists
Machine Learning Engineer,SourceFuse,8.8,"Flask, Data Engineering, Generative AI, Prompt Engineering, Web Scraping, Time Series Analysis, Deep Learning, Pandas (Software), Natural Language Processing (NLP), Machine Learning, Python (Programming Language), Tableau, Data Analysis, Statistical Data Analysis, Data Modeling, SQL, Microsoft Excel, K-Nearest Neighbors (KNN), Regression Models, Scikit-Learn, Data Visualization, Statistical Modeling, Economics, Education, Teamwork",Post Graduate Diploma,Analytix Labs,"Internship Certificate, Internship Certificate, Certified Data Analyst, Certified Data Analyst in Python, Certified Data Scientist, Capacity Building Programme, Capacity Building Programme",Bengaluru,Karnataka,India,data_scientists
Data Scientist,Flipkart,4.9,"Optimization, Model Training, Model Development, Deep Learning, MLOps, PySpark, Recommender Systems, Computer Vision, PyTorch, Amazon Web Services (AWS), Python (Programming Language), Machine Learning, MySQL, Microsoft Office, Teamwork, Data Analytics, Scikit-Learn",Post Graduation Program,Great Learning,,Bengaluru,Karnataka,India,data_scientists
Senior Data Scientist,Wells Fargo,6.9,"Data Validation, Oracle Database, Data Warehousing, Data Management, Data Migration, Data Science, Database Design, UAT Coordination, UAT, Query Writing, Query Optimization, Database Development, MySQL, Relational Databases, Unix, SAS (Software), SAS Enterprise Guide, SAS EG, SAS, Project Management, Team Building, Team Spirit, Business Strategy, Strategy, Decision Sciences, SQL, SAS (Programming Language), Teradata, Consumer Lending, Underwriting, Microsoft Excel, Team Management, Leadership, Management, Microsoft PowerPoint, Public Speaking, Teamwork, loyalty, Bloomberg Terminal, Financial Modeling, Portfolio Management, Bloomberg Software, Financial Analysis, Equity Valuation, Economics, Excel Pivot, Excel Models, Trading, Microsoft Word, Python, NumPy, pandas, SciPy, Matplotlib, Python for Finance, Corporate Finance, Excel Dashboards, Investments, Critical Thinking, Microsoft Office, Data Analysis, Finance, Equity Research, Investment Valuation, Company Valuation, Residential Mortgages, Mortgage Underwriting, Mortgage Lending, Analytical Skills, Data Analytics, Research, Valuation Modeling, Bloomberg, Investment Research, Capital Markets, Statistics, Financial Research",Msc,University of Exeter,,Bengaluru,Karnataka,India,data_scientists
Data Scientist,Capgemini,2.3,"TensorFlow, Amazon Web Services (AWS), Named Entity Recognition (NER), Optical Character Recognition (OCR), Natural Language Processing (NLP), Deep Learning, Algorithms, Data Science, Machine Learning, Python (Programming Language), Anaconda, Seaborn, Pandas (Software), NumPy, Scikit-Learn",Bachelor of Technology - BTech,Arya College of Engineering,,,,India,data_scientists
