current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Data Engineer III ,Walmart Global Tech India,7.0,"Apache Airflow, Azure Databricks , Azure Data Factory, Google big query, Google cloud storage, JSON, Avro, Interpersonal Skills, Presentations, Communication, Strategic Thinking, Computer Science, Analytics, Apache Spark, HiveQL, Data Warehousing, Informatica PowerCenter, Hadoop, Azure Data Lake, Hive, HDFS, Query Writing, Pandas (Software), Flask, FastAPI, MySQL, Cloud Storage, PySpark, Distributed Storage, Snowflake, Microsoft SQL Server, python, Data Structures, C (Programming Language), Git, Linux, Python (Programming Language), IOT",Bachelor of Technology,"Shri Ramswaroop Memorial Group of Professional Colleges, Lucknow","Distributed Storage and Processing Fundamentals , Data Science, Python for Data Science
, Internet of things 
",Bengaluru,Karnataka,India,data_engineers
Data Engineer,Skoruz Technologies,18.8,"Embedded Systems, Testing, GSM, Mobile Devices, Mobile Communications, Debugging, Wireless, Wireless Technologies, C, Embedded Software, RTOS, Real-Time Operating Systems (RTOS), 3GPP",Bachelor of Engineering (B.E.),Visvesvaraya Technological University,,Bengaluru,Karnataka,India,data_engineers
Data Engineer,Atlassian,6.0,"Automation, Query Tuning, Database Queries, Amazon Elastic MapReduce (EMR), Amazon Web Services (AWS), Docker Products, Amazon Redshift, Continuous Integration and Continuous Delivery (CI/CD), Data-driven Decision Making, Data Manipulation, Google Cloud Platform (GCP), Apache Airflow, Data Engineering, Hadoop, Kafka Streams, Scala, Applied Machine Learning, Python (Programming Language), SQL, Data Analysis, Statistics, Data Visualization, R programming, Jupyter, TensorFlow, Leadership, Machine Learning Algorithms, Convolutional Neural Networks (CNN), Keras, Data Analytics, Machine Learning, Tableau, Problem Solving, MySQL, Natural Language Processing (NLP), Deep Learning, Neural Networks, Pandas (Software), Business Analysis, customer analytics, Data Build Tool (DBT)",Post Graduation program in Data Science Engineering,Great Lakes Institute of Management,"Data Engineering with dbt, Introduction to Scala, Google Cloud Platform Big Data and Machine Learning Fundamentals, Supervised Learning with scikit-learn, NLP with Python for Machine Learning Essential Training, POST GRADUATE PROGRAM IN DATA SCIENCE AND ENGINEERING, Applied Machine Learning: Algorithms, Applied Machine Learning: Foundations, Intro to SQL for Data Science Course, Introduction to Python Course for Data Science, Intermediate Python for Data Science",Bengaluru,Karnataka,India,data_engineers
Data Engineer,Booking Holdings (NASDAQ: BKNG),4.5,"Data Modeling, Gitlab, Cloudera, Data Architecture, SQL, Data Build Tool (DBT), Apache Airflow, Snowflake, Apache Spark, Oozie, Hadoop, Python, Amazon Web Services (AWS), Linux, Terraform, Communication, Public Speaking",Bachelor of Engineering,"DAYANANDA SAGAR ACADEMY OF TECHNOLOGY AND MANAGEMENT, BANGALORE","HashiCorp Certified Terraform Associate, AWS Partner: Accreditation (Business), AWS Partner: Accreditation (Technical), AWS Partner: Cloud Economics Accreditation, AWS Certified SysOps Administrator – Associate, AWS Certified Solutions Architect – Associate",Bengaluru,Karnataka,India,data_engineers
Data Engineer,IBM,6.8,"ADB, Talend Open Studio, Microsoft SQL Server, Azure Data Lake, Data Mining, Data Warehousing, Databases, SQL, PL/SQL, SQL Server Reporting Services (SSRS), SQL Server Integration Services (SSIS), Microsoft Power BI, docker, Azure Key Vault, Azure Databricks, SQL Server Analysis Services (SSAS), MultiDimensional eXpressions (MDX), DAX",B. tech,"Veer Bahadur Singh Purvanchal University, Jaunpur","Microsoft Certified: Azure AI Fundamentals, Azure Fundamental, SQL",Bengaluru,Karnataka,India,data_engineers
Data Engineer,Ericsson,4.1,"Informatica Cloud, MLOps, Natural Language Processing (NLP), SQL, PySpark, Streamlit, Snowflake Cloud, Amazon S3, Data Analysis, Project Management, Python (Programming Language), MATLAB, Simulink, PSpice, Verilog, Research",Bachelor's degree,Manipal Institute of Technology,"An Introduction to Interactive Programming in Python (Part 1), An Introduction to Interactive Programming in Python (Part 2), Principles of Computing (Part 1), Foundations of Project Management, Introduction to Programming with MATLAB, Programming for Everybody (Getting Started with Python)",Bengaluru,Karnataka,India,data_engineers
Software Engineer,Microsoft,7.6,"Research, Programming, MySQL, Microsoft Azure, Azure Data Factory, SQL, Python, Pyspark, Management, Leadership, Public Speaking, SAP HANA, Azure data fundamentals",Bachelor of Technology (B.Tech.),KL University,"Microsoft Certified: Azure AI Fundamentals, Apache Spark programming with Databricks, AZ - 204 Azure Developer Associate , DP-201 Designing an Azure Data Solution, Microsoft Certified: Azure Data Engineer Associate, DP - 900 : Azure data fundamentals, DP-200 Implementing an Azure Data Solution, Microsoft Certified: Azure Fundamentals, Python, ORACLE, Ethical Hacking,IIT Hyderabad, Partner Training - Solutions Architect Essentials, Partner Training - Developer Essentials, Partner Training - Developer Foundations",,Andhra Pradesh,India,data_engineers
IT Solutions Delivery Specialist,"Itron, Inc.",8.6,"SQL, Extract, Transform, Load (ETL), Azure Data Factory, Azure Databricks, PySpark, M365, Microsoft SQL Server, Oracle SQL Developer, OBIEE, Snaplogic, RPD, Oracle Analytics Cloud (OAC), Microsoft Power BI, Microsoft Excel, Computer Networking, Data Visualization, Linux System Administration, Cloud Computing, Spreadsheets, Network Administration, PostgreSQL, Microsoft Office, Visual Basic for Applications (VBA), Amazon Web Services (AWS), MySQL, linux, Python, Team Leadership, Multitasking, Networking, Macro, Amazon EC2, Cloud Development, DAX",Bachelor of Technology (B.Tech.),PSIT Kanpur (Pranveer Singh Institute of Technology),"MS-900 Microsoft 365 Certified: Fundamentals, Microsoft Certified: Azure Fundamentals, Become a Linux System Administrator, SQL Masterclass: SQL for Data Analytics, Learning Docker, Introduction To Cloud Migration Using Amazon Web Services, Alteryx Foundational Micro-Credential, SnapLogic Certified Enterprise Automation Professional",Bengaluru,Karnataka,India,data_engineers
Data Engineer,Lowe's India,6.9,"Python (Programming Language), Extract, Transform, Load (ETL), ETL Tools, Apache Spark, Hadoop, Hive",Bachelor of Engineering - BE,"Academy for Technical and Management Excellence, MYSORE",,Bengaluru,Karnataka,India,data_engineers
Senior Data Engineer,Visa,5.6,"Functional Programming, Code Review, Problem Solving, SQL, Linux, Software Development, Git, Scala, Databases, Systems Design, Data Structures, Python (Programming Language), React.js, Web Development, Android Development, HTML, Cascading Style Sheets (CSS), JavaScript, Java, C (Programming Language), Rasa Platform, GitHub, Flask, Web Applications",Bachelor of Technology - BTech,"KJ Somaiya College of Engineering, Vidyavihar","Triplebyte Certified Generalist Software Engineer, JPMC's Software Engineering Virtual Experience",Bengaluru,Karnataka,India,data_engineers
