current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Data Engineer,Eli Lilly and Company,4.8,"AWS Glue, DBeaver, Airflow, Stored Procedures, Amazon Redshift, Git, REST APIs, ETL Tools, Snowflake, XML, XML Schema Definition (XSD), Veeva Vault, PostgreSQL, Informatica Cloud, Data Integration, Oracle SQL Developer, Unix, R33, R36, IICS, CAI, Application integration, Data Migration, Interpersonal Skills, Communication, aws cloud, Cloud Services, Cloud Computing, Amazon Web Services (AWS), Amazon Relational Database Service (RDS), Amazon EC2, Amazon S3, AWS Lambda, Data Warehousing, Informatica PowerCenter, PowerCenter, Extract, Transform, Load (ETL), Python (Programming Language), Informatica, SQL",Bachelor's degree,"Indira Gandhi Institute of Technology (IGIT), Sarang","AWS Certified Cloud Practitioner, SQL(Basic), SQL(Intermediate)",Bengaluru,Karnataka,India,data_engineers
Data Engineer,A.P. Moller - Maersk,6.9,"Data Engineering, Extract, Transform, Load (ETL), Dremio, PySpark, Microsoft Fabric, Python (Programming Language), Azure Databricks, Azure Data Lake, Azure Data Factory, java, Java Database Connectivity (JDBC), HTML5, Cascading Style Sheets (CSS), C, C++, JavaScript, MySQL, Usability Testing, Manual Testing, Accessibility Testing, Microsoft Azure, Cloud Computing, Microsoft Power BI, Microsoft Power Automate, Azure Key Vault, Azure Active Directory, Azure Kubernetes Service (AKS), Azure Functions, Azure Logic Apps, Azure DevOps, Visual Studio, Microsoft Visual Studio Code, Azure Data Studio, Virtual Machines, Microsoft SQL Server, PostgreSQL, Azure Cosmos DB, SQL, SQL Azure",BTech - Bachelor of Technology,Banasthali Vidyapith,"Microsoft Certified Azure Data Fundamentals, Microsoft Certified Azure Fundamentals, Trusted Tester V5 Certification, certificate in java",Bengaluru,Karnataka,India,data_engineers
Project Lead,Persistent Systems,10.7,"Data bricks , Quick etl, Python (Programming Language), Apache Kafka, Apache Airflow, Yarn, PySpark, Cassandra, Apache Spark, Scala, HBase, Hive, Apache Sqoop, Linux, MapReduce, Hadoop, Talend, TAC, Data Warehousing, talend developer, Java, VBScript, Data Structures, SQL, MySQL",Bachelor of Engineering - BE,"Devi Ahilya Vishwavidyalaya, Indore","Talend Data Integration v7 Certified Developer, Gold Certified Engineer, Platinum Certified Engineer, Silver Certified Engineer",Bengaluru,Karnataka,India,data_engineers
Senior Data Scientist,CGI,5.1,"Docker Products, Big Data, Apache Airflow, Kubernetes, AWS Lambda, mango db, Amazon Redshift, PyTorch, Apache Spark, MLOps, Amazon Web Services (AWS), Deep Learning, Computer Vision, and NLP, Azure cloud technologies, Scikit-learn framework , synapse, Microsoft Fabric, Microsoft Power BI, Azure Logic Apps, Azure Functions, Azure Data Lake, Azure Databricks, Azure Data Factory, Azure SQL, Microsoft Azure, Tableau, MongoDB, SQL, Data Maintenance, Data Loading, Python (Programming Language), Extract, Transform, Load (ETL), PySpark, PL/SQL, Jira",Bachelor's degree,Jawaharlal Nehru Technological University Kakinada (JNTUK),,Bengaluru,Karnataka,India,data_engineers
Senior Data Engineer,Zeotap,6.2,"Software Development, Databases, Google Cloud Platform (GCP), Amazon Web Services (AWS), Apache Camel, SQL, Graph Databases, Big Data, Apache Airflow, Java, Scala, Apache Spark",B.Tech,Banasthali Vidyapith,,Bengaluru,Karnataka,India,data_engineers
Data Engineer,Fractal,8.3,"Data Quality, DAX, Documentation, Computer Science, Communication, Data Marts, Analytics, Data Visualization, Data Pipelines, Data Analysis, Data Modeling, Data Analytics, Data Warehousing, Automation, Data Engineering, ETL Tools, Extract, Transform, Load (ETL), Data Integration, Microsoft Azure, Azure Logic Apps, Azure Key Vault, Spark sql, PySpark, Azure Data Lake, Azure Databricks, Azure Data Factory, Microsoft Power BI, Microsoft SQL Server, SQL Server Analysis Services (SSAS), Data Structures, Business Intelligence (BI), C++, SQL, C, SQL Server Integration Services (SSIS), Databases, Operating Systems, Azure DevOps",Master of Computer Applications - MCA,NIT Trichy,,Bengaluru,Karnataka,India,data_engineers
Data Engineer,Prophecy,9.1,"Apache Spark, Hadoop, SQL, Big Data, Apache Kafka, Python, Extract, Transform, Load (ETL), Apache Flink, Cassandra, Hive, Amazon Web Services (AWS), Data Structures, Programming, C, Algorithms, Shell Scripting, Android Development, OOP, C++, Linux, HTML, Java, XML, MySQL, Windows, Operating Systems, java script, Scala, HBase, Apache Sqoop, Django, Grafana, Cascading Style Sheets (CSS), ElasticSearch, Docker, Kibana, Datadog, PagerDuty, Google BigQuery, Python (Programming Language), C (Programming Language), JSON, Googling, Azkaban, Play Framework, Django restframework, Datastax studio, Git, Apache Airflow, Continuous Integration and Continuous Delivery (CI/CD)",Master of Computer Applications (M.C.A.),Motilal Nehru National Institute Of Technology,,Bengaluru,Karnataka,India,data_engineers
Consultant,Capgemini,4.7,"Data Manipulation, DDL, Communication, Documentation, Problem Solving, Apache Spark, Scala, Hive, Hadoop, SQL, Object-Oriented Programming (OOP), Java, Database Management System (DBMS), C (Programming Language), Team Management",B.tech,"Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore","Big Data Engineer master's program, The complete Java certification course, SQL basic , Scala & functional programming for Beginners",Bengaluru,Karnataka,India,data_engineers
Senior Consultant,Virtusa,8.4,"Scala, BMC Control-M, Linux, Bigdata, Redshift, Apache Spark, Big Data Analytics, SQL Tuning, Python (Programming Language), Computer Science, Data Collection, PySpark, Shell Scripting, SQL, Big Data, Amazon Web Services (AWS), Data Analysis, Digital Media, Data Warehousing, Extract, Transform, Load (ETL), Research, Business Analysis, Business Intelligence (BI), Unix, Microsoft Excel, Microsoft Office, MySQL, Communication, Management, Public Speaking, Leadership, Teradata, MicroStrategy",Bachelor of Engineering - BE,"chhatrapati shivaji institute of technology,durg",,Bengaluru,Karnataka,India,data_engineers
Data Engineer,ANZ,6.3,"Python (Programming Language), Google Cloud Platform (GCP), Looker, SQL, Snowflake Cloud, C (Programming Language)",Bachelor of Technology - BTech,"Kalinga Institute of Industrial Technology, Bhubaneswar",Associate Cloud Engineer,Bengaluru,Karnataka,India,data_engineers
SDE2,Solutionec,5.9,"Adf, SQL, CDI, Iics, Informatica Cloud, Data Integration",,,,Bengaluru,Karnataka,India,data_engineers
Data Engineer 2 -  NZ Data,ANZ,4.2,"Teradata, BMC Control-M, Atlassian Bamboo, Airflow, dbt, Extract, Transform, Load (ETL), Data Warehousing, Java, Selenium, Jenkins, Regression Testing, C (Programming Language), Python (Programming Language), Android Development, Machine Learning, Kotlin, C++, HTML5, Cascading Style Sheets (CSS), Programming, Adobe Illustrator, Web Development, Adobe Photoshop, JavaScript, SQL, Database Management System (DBMS), SQLite, Video Editing, Neural Networks",Bachelor of Technology - BTech,Jaypee University of Engineering and Technology,"Astronomer Certification for Apache Airflow 3 Fundamentals, Element of A.I, Advanced Data Science with IBM Specialization , Advanced Machine Learning and Signal Processing, Applied AI with DeepLearning, Algorithmic Toolbox, Machine learning, Fundamentals of digital marketing ",Bengaluru,Karnataka,India,data_engineers
Senior Data Engineer,Nike,6.7,"Analytical Skills, Enterprise Data Warehouses (EDW), Data Transformation, Data Modeling, Data Mining, Data Warehousing, Data Extraction, Business Reviews, Engineering, Data Analytics, Automation, Scripting, Test Automation, lua, Manual Testing, IPS, Security Patch Management, Antivirus, Data Analysis, Pandas (Software), MySQL",Bachelor of Technology - BTech,Chitkara University,"Databricks Certified Data Analyst Associate, SQL (Intermediate), SQL (Basic), Learning Data Analytics, MySQL Essential Training, pandas Essential Training, Academy Accreditation - Databricks Lakehouse Fundamentals",Bengaluru,Karnataka,India,data_engineers
Data Engineer,EY,5.5,"Unity Catalog, Unity Catalog Upgrade, Lang Chain, ML model development - tools and technologies, Model experimentation, Model monitoring - Deterministic and probabilistic AI, Prompt evaluation and fine tuning, Alation, Data Governance, Delta Lake , Databricks Lakehouse,  Delta Live Tables, Data Pipelines,  Python,  Production, Lakehouse, Databricks machine learning, Databricks SQL , Delta lake Security, Scaled Agile Framework, Scrum, Kanban, Agile Project Management, Azure Data Factory, Databricks, Microsoft SQL Server, Python , Data Vault, Azure DevOps, Apache Spark, Azure Databricks, ETL, CI/CD, Python (Programming Language), Microsoft Azure, PySpark, Microsoft Power BI, Big Data, Big Data Analytics, Python, Hadoop, Data Analysis, C, C++, Java, HTML, CSS, MySQL, SQL, Unix, Leadership, Talend",Bachelor of Engineering,CHANDIGARH UNIVERSITY,"Academy Accreditation - Generative AI Fundamentals, UC Upgrade Delivery Specialization, Partner Training - Advantages of Being GTM Ready and the Art of the Possible, EY Artificial Intelligence - AI Engineering - Bronze, Databricks Certified Data Engineer Associate,  EY Innovation - Agile, HackerRank Certified Java(Basic), Machine Learning, HackerRank Certified Problem Solving(Basic), Artificial Intelligence Analyst - Explorer Award 2019, Artificial Intelligence Analyst - Mastery Award 2019, Predictive Analytics Modeler - Explorer Award 2018, Big Data Engineer - Explorer Award for Students 2018, Big Data Engineer - Mastery Award for Students 2018, Business Intelligence Analyst - Explorer Award for Students 2018, Databricks Lakehouse Fundamentals",Bengaluru,Karnataka,India,data_engineers
Data Engineer,IBM,2.4,"Data Modeling, Data Extraction, Debugging, Multitasking, Defining Requirements, Object Oriented Design, Attention to Detail, Critical Thinking, Active Listening, Backup & Recovery Systems, Logical Reasoning, Passionate about Work, C#, Best Trainee Experience - Happiness Barometer, Cascading Style Sheets (CSS), Presentations, Presentation Skills, GitHub, Web Applications, Programming, Computer Science, Skill Development, Spring Boot, Core Java, Project Leadership, Interpersonal Skills, Software Development, Teamwork, Java, Database Management System (DBMS), Communication, CSS basic, Computer Networking, Object-Oriented Programming (OOP), MySQL, Machine Learning, HTML, Problem Solving, C (Programming Language), Python (Programming Language), SQL",Bachelor of Engineering - BE,VIDYA VIKAS INSTITUTE OF ENGINEERING AND TECHNOLOGY,"SQL BASIC, Hackathon, Software Engineering Virtual Intern, Flipkart GRiD 5.0 - Software Development Track, Introduction to Programming Using Python",Bengaluru,Karnataka,India,data_engineers
Abinitio Consultant,IBM,5.9,"Ab Initio, SQL, C, Unix, Data Analysis, Oracle Database, IBM Mainframe, IBM Tivoli Workload Scheduler (TWS), Data Integration, Informatica, DataStage, Microsoft Office, Microsoft Excel, Data Warehousing",Bachelor's degree,Heritage Institute of Technology,"AWS Certified Cloud Practitioner, Big Data Foundations - Level 1, Cognitive Practitioner, Python for Data Science",Bengaluru,Karnataka,India,data_engineers
Senior Data Engineer,Google,10.5,"Amazon Web Services (AWS), Quantitative Analytics, Data Integrity, Technical Design, Requirements Gathering, Quality Assurance, Problem Solving, Communication, Subject Matter Experts, Scope Management, Data Lakes, NoSQL, Business Intelligence (BI), Data Interpretation, Data Quality, Data Profiling, Data Analytics, Data Governance, Systems Design, Query Optimization, Optimization, Data Manipulation, Computer Science, Data Engineering, Amazon QuickSight, Amazon Redshift, SQL, Data Analysis, Data Visualization, Data Warehousing, Data Mining, Automation, Data Structures, Performance Tuning, Agile Methodologies, Extract, Transform, Load (ETL), Database Design, Data Modeling, Requirements Analysis, Scrum, Data Science, Machine Learning, Artificial Intelligence (AI), Statistical Data Analysis, scrum, C, C++, Tableau, Python, Java, R, Git, Visual Basic .NET (VB.NET), Leadership, Teamwork, Management, Self Learning, Sprints",MTech,"Birla Institute of Technology and Science, Pilani",Learning Jira (Cloud Edition),Bengaluru,Karnataka,India,data_engineers
Data Engineer,Myntra,7.4,"Azure Databricks, Database Management System (DBMS), SQL, Azure Data Factory, Data Structures, Social Media, Marketing, Python (Programming Language), Java, Flutter, C (Programming Language), MS SQL, Problem Solving, Teamwork, Communication",Bachelor of Technology - BTech,Manipal University Jaipur,"Databricks Certified Data Engineer Associate, Microsoft Certified: Azure Fundamentals, Microsoft Certified : Azure Data Engineer Associate ",Bengaluru,Karnataka,India,data_engineers
Senior Associate,PwC India,7.4,"Hadoop, Continuous Integration and Continuous Delivery (CI/CD), Data Lakes, Data Warehousing, Databases, PL/SQL, Extract, Transform, Load (ETL), Design Thinking, Apache Spark, Hive, PySpark, Data Engineering, Scripting, Methodology, Amazon Web Services (AWS), Lists, Data Cleaning, Big Data, Unit Testing, Communication, python, SQL, Microsoft Azure, Agile Methodologies, Project Management, Lean Six Sigma, Data Analysis, Risk Management, Analytical Skills, Analytics, Microsoft Excel, Tableau, Cascading Style Sheets (CSS), AngularJS, JavaScript, C++, Azure Data Factory, Azure Databricks, Azure Data Lake, Microsoft Power BI, Python (Programming Language), Time Management, Problem Solving, Data Analytics, Document Creation, MySQL",Bachelor of Technology - BTech,"Vellore Institute of Technology, Vellore",Lean Six Sigma Green Belt Certification,Bengaluru,Karnataka,India,data_engineers
Data engineer 2,McKinsey & Company,6.5,"Data Lakes, Data Storage, Data Structures, MySQL, Performance Based Design, System Performance, Performance Tuning, System Requirements, Optimization, Microsoft SQL Server, Problem Solving, IT Integration, Programming, Agile & Waterfall Methodologies, Cloud Applications, Data Processing, Databricks Products, Continuous Integration and Continuous Delivery (CI/CD), Microservices, Agile Methodologies, Object-oriented Languages, Database Design, Relational Databases, Data Modeling, SharePoint, Artificial Intelligence (AI), Data Integration, Data Pipelines, PySpark, Data Architecture, Cloud Computing, Cloud Services, Written Communication, Databases, Data Science, Data Warehousing, Data Engineering, Extract, Transform, Load (ETL), Apache Spark, Hadoop, Scala, Big Data, Systems Engineering, Web Technologies, Machine Learning, Hdfs, HBase, MapReduce, Microsoft Azure, HiveQL, Apache Sqoop, Python, Azure Databricks, Azure Data Factory, Azure Data Lake, Java, SQL, NoSQL, XML, JSON, Azure Kusto, Microsoft Power BI, Leadership, Management, Hive, Metadata, Data Analytics",Bachelor of Engineering,Gogte Institute of Technology,"Databricks Certified Data Engineer Associate, Databricks Certified Associate Developer for Apache Spark 3.0, Microsoft Certified: Azure Fundamentals, MTA: Introduction to Programming Using Python - Certified 2018, Microsoft Certified : Azure Data Engineer Associate",Bengaluru,Karnataka,India,data_engineers
