current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Software Engineer,i-exceed ,2.9,"Java Development, Front-end Coding, Powershell, Attention to Detail, Java Application Development, Technical Support, Virtualization, Troubleshooting, React.js, Spring Boot, Spring Framework, Back-End Web Development, SQL, PL/SQL, Spring MVC, Linux, HTML, CSS Flexbox, AJAX, JavaScr, GitHub, Programming, Linux Server, Computer Science, High-Pressure Environments, Leadership, Azure Infrastructure as a Service (IaaS), Cloud Administration, Front-End Development, HTML5, Cascading Style Sheets (CSS), Java, C (Programming Language), Microsoft Azure, Core Java, JavaScript, Engineering, English, Problem Solving, Microsoft Excel, Analytical Skills, Communication, Training, Project Management",Bachelor of Engineering - BE,Godutai Engineering college for womens,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Mistura Software Technologies,3.0,"Google Ads, Web Engineering, JSON, Web Services, Web Design, Problem Solving, Computer Science, RESTful WebServices, Computer Network Operations, JSON-RPC, Next.js, NestJS, Application Programming Interfaces (API), Code Review, Android Development, Mobile Application Development, Kotlin, State Management, Web Technologies, Agile Development, Node.js, TypeScript, SQL, Android, Amazon Web Services (AWS), .NET Framework, Programming, Object-Oriented Programming (OOP), Programming Languages, Databases, Cloud Services, Content Management Systems (CMS), Document Object Model (DOM), Versioning, Design Patterns, MySQL, User Interface Design, Communication, Web Development, jQuery, Tailwind CSS, JavaScript Libraries, JavaScript, React Native, React.js, HTML5, Cascading Style Sheets (CSS), Mobile Applications, GPT-4, Microservices, Attention to Detail, Software Development, Front-End Development, Google Docs, Jira, Web Applications, JavaScript Frameworks, Redux.js, HTML, GitHub, REST APIs, Git, Firebase, JSON Web Token (JWT), Agile Methodologies",Bachelor of Engineering - BE,"Dayananda Sagar College of Engineering, BANGALORE",,Bengaluru,Karnataka,India,frontendFinal
Senior Engineer,L&T Technology Services,4.8,"Version Control Tools, Web Content Accessibility Guidelines (WCAG), Web Servers, Agile Development, Mobile Applications, ECMAScript, CSS Flexbox, jQuery, Test-Driven Development, OAuth, HTML/CSS Validation, Representational State Transfer (REST), JavaScript Libraries, Data Structures, Object-Oriented Programming (OOP), Design Patterns, State Management, Webpack, Front-end Coding, Jest, Async, Client Interfacing Skills, Optimization Techniques, Progressive Web Applications (PWAs), Industry standards, Technical Documentation, Retrospectives, Root Cause Analysis, Root Cause, Responsiveness, Prompt Engineering, React.js, Front-end Engineering, ChatGPT, Artificial Intelligence (AI), Code Design, Technical Standards, Compatibility Testing, Babel.js, Fundamentals, Algorithm Design, WebUI, Web Technologies, Semantic HTML, React Hooks, Cookies, GitHub Copilot, Attention to Detail, User Interaction, Algorithms, Clean Coding, Cross-browser Compatibility, JavaScript Object Model (JSOM), UI Testing, User Stories, Customer Satisfaction, Technical Requirements, Business Requirements, Web Applications, Material-UI, Scrum, Unit Testing, JavaScript eXtension (JSX), JavaScript Frameworks, Troubleshooting, Code Review, REST APIs, Agile Software Development, GitHub, Postman API, Front-End Development, JavaScript, Web Development, Software Development, Responsive Web Design, Front-end Design, HTML, XML, Information Technology, HTML5, Cascading Style Sheets (CSS), Bootstrap, JSON, Node.js, Express.js, Git, Computer Science, Programming Languages, Debugging, Programming, Redux.js, TypeScript, English, Analytical Skills, Agile Methodologies, Adobe Illustrator, Communication, Leadership, Problem Solving, Organization Skills",Bachelor of Engineering - BE,"Bapuji Institute of Engineering & Technology, DAVANAGERE","GenAI Ninja Training 2024, React Basics, Programming with JavaScript , Front End Development Libraries, React 17 Bootcamp, Build Apps Using React: Advanced Features In React, Web Design And Development Foundation, Certified SAFe® 5 DevOps Practitioner, Certified SAFe® 6 DevOps Practitioner, Certified SAFe® 5 Agile Software Engineer, Certified SAFe® 5 Practitioner",Bengaluru,Karnataka,India,frontendFinal
Junior Software Engineer,Reactore,2.5,"Angular, TypeScript, Angular Material, Low-Code Development Platforms, AngularJS, Core Spring, Thymeleaf, Oracle SQL, Java Database Connectivity (JDBC), J2EE, HTML5, Bootstrap (Framework), Tymleaf, Spring MVC, Spring Framework, Hibernate, Java, SQL, Engineering, Web Development, Creative Problem Solving, Python (Programming Language), C (Programming Language), HTML, Cascading Style Sheets (CSS), JavaScript, Software Development, Core Java, MySQL, Spring Boot",Bachelor of Technology ,Gurukula Kangri Vishwavidyalaya,,Bengaluru,Karnataka,India,frontendFinal
Lead Engineer,Atlassian,9.1,"Next.js, GraphQL, Content Management Systems (CMS), MongoDB, TypeScript, Redux.js, Node.js, AngularJS, Bootstrap, HTML5, Front-End Development, React.js, JavaScript, Cascading Style Sheets (CSS), Software Development Life Cycle , Project Management , Software Testing , Quality assurance, Test Automation , Web Development, Agile Methodologies, HTML, Angular , Java, jQuery, Team coordination , Database Solution Architecture & Designing , Requirement Analysis & Gathering , Resource & Cost Optimization , Bug Review Meetings ",BTech - Bachelor of Technology,"College of Engineering, Adoor",,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,LTIMindtree,12.9,"HTML, Unit Testing, Webpack, JavaScript, React.js, Redux, Programming, Front-End Development, Css3, HTML5, Semantic UI, jQuery, AngularJS, Redux.js, Redux Thunk, Node.js, My Sql, MongoDB, Jira, Git, Bitbucket, Bootstrap, JavaScript eXtension (JSX), CSS3, Jest, AJAX, RESTful WebServices, Cascading Style Sheets (CSS), ECMAScript, ES6, JSON, Express.js, TypeScript",Bachelor of Engineering (B.E.),PESIT BANGALORE,"AMCAT Certified Data Processing Specialist, AMCAT Certified Software Development Trainee, AMCAT Certified Software Engineer - IT Services, AMCAT Certified Software Engineer - Product",Bengaluru,Karnataka,India,frontendFinal
Lead Software Engineer,Persistent Systems,3.9,"Server Side, AJAX, Programming, Sprints, Optimization, Agile Development, Problem Solving, Communication, Web Applications, Web Technologies, Flux, Responsive Web Design, Software Development, JavaScript Frameworks, REST APIs, Developer Tools, Web Development, Document Object Model (DOM), Debugging, User Interface Design, RxJS, TypeScript, Git, Redux, Data Structures, Algorithms, Java, HTML, HTML5, Cascading Style Sheets (CSS), JavaScript, React.js, MongoDB, MySQL, Node.js, Front-End Development",Bachelor of Technology - BTech,INDIAN MARITIME UNIVERSITY,"React, React, HackerRank(Problem Solving)",Bengaluru,Karnataka,India,frontendFinal
Senior Frontend Developer,Arctic Wolf,9.4,"Front-end Engineering, Front-End Design, Data Analysis, Cross-functional Team Leadership, Product Management, Product Development, Web Technologies, Node.js, Stakeholder Management, TypeScript, Product Road Mapping, A/B Testing, Delivery Of Projects, Software Development, Management, React Hooks, Full-Stack Development, GraphQL, Front-End Development, Cascading Style Sheets (CSS), SQL, Computer Science, Communication, Programming, Object-Oriented Programming (OOP), AngularJS, Web Applications, Public Speaking, JavaScript, Web Development, React.js",M.Sc in Biological Sciences and B.E in Electronics And Instrumentation,"Birla Institute of Technology and Science, Pilani",,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,iNetFrame Technologies,7.8,"Oracle tool, Computer Science, JSON, React.js, HTML5, Bootstrap (Framework), Tailwind CSS, REDUX, Redux Thunk, JavaScript, Git, GitHub, Firewalls, SQL, Node.js, Express.js, MongoDB",Camellia institute of engineering and technology ,Kendriya Vidyalaya,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,KreditBee,2.7,"HTML5, Web Applications, Cascading Style Sheets (CSS), Business Development, ASP.NET, Professional Skills, Design Patterns, Responsiveness, Distributed Systems, Apache Spark, Business Requirements, JSON Web Token (JWT), Web Performance, Performance Metrics, Coding Standards, iOS Development, Android Development, Tailwind CSS, Web Pages, Search Engine Optimization (SEO), Production Experience, Next.js, sentry , Front-End Development, React js, react query , Jira, Firebase, Cloud Firestore, Software Infrastructure, Web Engineering, Git, My sql workbench , Amazon Web Services (AWS), Jest, Sentry, Redux.js, saga, GitHub, JavaScript, React.js, MySQL, Database Management System (DBMS), SQL, Data Structures, Java, Software, Machine Learning, Engineering, Research, User Experience (UX), Electronics, Programming, Education, Information Technology, C++, C (Programming Language), Figma (Software), Core Java, Communication, Problem Solving, Internet of Things (IoT), Communication Eng, Programming Languages",Bachelor of Engineering - BE,Indian Institute of Information Technology Bhopal,"HTML AND CSS, HTML AND CSS, Introduction to Packet Tracer, Cybersecurity Essentials, Introduction to Cybersecurity",Bengaluru,Karnataka,India,frontendFinal
