current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Senior Lecturer,Sct polytechnic vignana nagara Bengaluru ,1.4,"Python (Programming Language), Front-End Development, Problem Solving, Web Applications, Responsive Web Design, Front-End Design, Object-Oriented Programming (OOP), Cascading Style Sheets (CSS), HTML, JavaScript, Java",full stack /DSML,Scaler,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer II,Toast,13.7,"Haskell, Large Language Models (LLM), React.js, Problem Solving, C (Programming Language), Python (Programming Language), Public Speaking, Writing, Programming, Data Structures, Communication, Leadership, Presentations, Painting, Social Media Blogging, Java, English, Algorithms, Microsoft Word, Microsoft Excel, Microsoft PowerPoint, Sketching, Microsoft Office",Bachelor of Technology - BTech,Techno India College Of Technology,"Python(Basics), Machine Learning, Python for Data Science, Computer Architecture, Design and Analysis of Algorithms, Joy Of Computing Using Python, Soft Skills and Developement, Java (Basics), Problem Solving (Basic)",Bengaluru,Karnataka,India,frontendFinal
Engineering Intern,NotHotDog 🌭,1.0,"React.js, Leadership, HTML, CSS, JavaScript, Python (Programming Language), Algorithms, Database Management System (DBMS), SQLite, C (Programming Language), Data Structures, Front-End Development, Front-End Design",Bachelor of Technology - BTech,RV University,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer (SDE-I),Faxtor,2.2,"Webpack, Next.js, Front-End Development, React, Tailwindcss, JavaScript , CSS html, Tailwind CSS, Problem Solving, Optimization, Search Engine Optimization (SEO), Concurrent Programming, Oracle SQL Developer, Core Java, Collections, OOPS, Microsoft SQL Server, ORCALE SQL, JavaScript Libraries, Git, Software Development, Redux.js, React.js, Object-Oriented Programming (OOP), SQL, Java, React js, JavaScript, Web Development, C (Programming Language), HTML5, Cascading Style Sheets (CSS), Communication, Graphical User Interface (GUI), HTML, MySQL, Responsive Web Design, Data Structures, GitHub",Bachelor of Engineering - BE,"Sant Gadge Baba Amravati University, Amravati","CSS, SQL , Java Programming Fundamentals, Reactjs , Responsive Web Design, The Complete Core Java Course : Learn to Code ",Bengaluru,Karnataka,India,frontendFinal
Software Development Engineer 2,Rocketium,6.8,"Next.js, React.js, Python (Programming Language), C (Programming Language), Java, SQL, C++, HTML5, JavaScript, Animation, Gif Animator, Motion Graphics, After Effects, Adobe Illustrator, HTML, Cascading Style Sheets (CSS), Material-UI, Javascript, React, Redux, Semrush App Center",Bachelor of Technology - BTech,Jaypee University of Information Technology,,Bengaluru,Karnataka,India,frontendFinal
Senior Member of Technical Staff - II,Tessell,6.8,"reactjs, Front-End Development, react, Web Engineering, Engineering",Bachelor of Technology - BTech,"Indian Institute of Technology, Guwahati",,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Walmart Global Tech India,11.2,"Computer Science, Apollo GraphQL, JavaScript, Front-end Development, node.js, Java, Data Structures, Algorithms, Vue.js, Test Planning, Search Engine Optimization (SEO), Load Balancing, Web Caching, Web Development, Web Applications, Service-Oriented Architecture (SOA), HTML5, Cascading Style Sheets (CSS), scss, php, MySQL, jQuery, Google Analytics, Google Webmaster Tools, Bootstrap, Git, Jenkins, Red Hat Linux, Ubuntu, AJAX, React.js, Github, JavaScriptMVC, Marketing Research, CSS Sprites, Gitlab, Nginx, Grunt (Software), Gulp.js, Express.js, User Experience (UX), Web Design, Back-End Web Development, Software Design, Responsive Web Design, Information Architecture, Mobile Web Design, Web Standards, Software Development, TypeScript",B.E / CSE,GCEB,"Learning Java, Artificial Intelligence Foundations: Machine Learning, Become a Front-End Web Developer, JavaScript Essential Training, Learning Git and GitHub, Learning JavaScript Debugging, Responsive Layout, User Experience for Web Designers, Web Development Foundations: Full-Stack vs Front-End, JavaScript: Patterns, Learning Functional Programming with JavaScript, RHCE",Bengaluru,Karnataka,India,frontendFinal
Technology Analyst,Infosys,3.8,"JSON Web Token (JWT), JavaScript eXtension (JSX), Agile Development, User Interface Design, Responsiveness, REST APIs, State Management, Redux.js, TypeScript, Git, Responsive Web Design, Document Object Model (DOM), Postman API, Css3, Cascading Style Sheets (CSS), JavaScript, Front-End Development, Application Programming Interfaces (API), Software Development, HTML5, Tailwind CSS, Web Development, Redux, WebSphere MQ, React.js",Bachelor of Engineering - BE,KLS Gogte institute of Technology,,Bengaluru,Karnataka,India,frontendFinal
Software Developer,Gyaanova,0.6,"JavaScript, Responsive Web Design, Web Development, Back-End Web Development, HTML5, SQL, Cascading Style Sheets (CSS), HTML, Java, Application Support, Customer Support, Communication",Bachelor of Engineering - BE,"Bapuji Institute of Engineering & Technology, DAVANAGERE",,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,LeadSquared,5.1,"React.js, C#, HTML, HTML5, Cascading Style Sheets (CSS), Java, JavaScript, C (Programming Language), C++, MongoDB",Bachelor of Technology - BTech,Chitkara University,"Introduction to Cybersecurity, Introduction to Web Development, Programming Essentials in Python",Bengaluru,Karnataka,India,frontendFinal
Software Developer,Atlassian,5.9,"Web Application Security, Web Applications, MySQL, MongoDB, Git, Webpack, Object-Oriented Programming (OOP), Cascading Style Sheets (CSS), TypeScript, Front-End Development, Web Development, JavaScript, Spring Boot, Kubernetes, Docker, Spring Framework, React.js, React Hooks, Redux.js, Redux Thunk, HTML5, Bootstrap",Bachelor of Technology,RCC INSTITUTE OF INFORMATION TECHNOLOGY 117,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Codewave,3.8,"front end libraries ,  javascript ,  Nextjs ,  tailwind , shadcn, Tailwind CSS,  sass, bootstrap ,  React Js, Next.js, TypeScript,  javascript,  jotai,  redux, Material-UI, Node.js, Jotai, React test library, Yup, Zod, SASS, Website Building, Hooks, HTML5,  RestApi, Javscript, ReactJS, Redux, Adobe Photoshop, Adobe Illustrator, WordPress, Responsive Web Design, Hypertext Transfer Protocol (HTTP), Document Object Model (DOM), HTML Emails, Email Design, Redux.js, React.js, JSON, Front-End Development, REST APIs, HTML, Css, Cascading Style Sheets (CSS), Bootstrap, JavaScript",Bachelor of Engineering - BE,University BDT College of Engineering - India,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer II,Zepto,6.8,"Playwright, Zustand, Git, Unit Testing, Agile Software Development, Web Development, Jest, Javascript, Axios, React Native for Web, React Native, TypeScript, React.js, JavaScript, MERN Stack, React Hooks, Responsive Web Design, Redux.js, ES6, Cascading Style Sheets (CSS), HTML, HTML5, Microsoft Word, Microsoft Office, SQL, es6, Management, Customer Service, Teamwork, Redux Saga, Front-End Development",Bachelor’s Degree,SRM IST Chennai,"AI Tools Workshop, JavaScript (Intermediate), React (Basic)",Bengaluru,Karnataka,India,frontendFinal
Associate Software Engineering,Tietoevry,3.8,"Java, Communication, Problem Solving, Debugging, CFML, Web Applications, Code Review, Lucee, Coding Standards, Data Preparation, Oracle SQL Developer, Bootstrap (Framework), REST APIs, Google Analytics, Microsoft SQL Server, Postman API, Visual Studio, Git, Angular, Web Services API, JavaScript, React.js, Adobe ColdFusion, HTML and CSS",Bachelor of Engineering - BE,KLE College of Engineering & Technology belgavi,,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Infiniti Research Ltd.,5.2,"Vue.js, java script, GraphQL, Bootstrap (Framework), HTML5, Cascading Style Sheets (CSS), Next.js, HTML5, CSS, REACT JS ",,,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer ISDL,IBM,8.0,"JavaScript, React.js, Agile Methodologies, HTML, Redux, ITIL, Data Analysis, Web Development, styled-components, Front-end Development, React Hooks, Microsoft Azure, Microsoft Power BI, MySQL, Microsoft Power Automate, Microsoft Office, Cascading Style Sheets (CSS), Team Management, Leadership, Communication, Material-UI",Bachelor of Engineering - BE,"St Joseph Engineering College, Mangaluru","Developer Profession - Level 1 Foundation, ITIL4, Google Analytics for Beginners, Certified ScrumMaster® (CSM®)",Bengaluru,Karnataka,India,frontendFinal
Sr. Associate - Projects,Cognizant,8.4,"Angular 18, SAP SPARTACUS, Technical Specs, Technical Requirements, Software Design Patterns, Enterprise Solution Design, Debugging, Conceptual Design, Business Requirements, Angular 14, Spartacus, Angular, Front-End Development, SAP Hybris, HTML5, SAP hybris, Responsive Web Design, Web Development, JavaScript, Android Development, Web Design, Project Management, HTML, Cascading Style Sheets (CSS), Microsoft Excel, Microsoft Word, Microsoft Office, Microsoft PowerPoint, jQuery, scss, Bootstrap, SQL, AJAX, css3, REST API, JSON, GitHub, Git, LESS (Stylesheet Language), Community Development, lithium, Freemarker, Lithium communities , online communities , Lumapps, DSM, Storybook, ADA Compliance, Adobe Ensighten",Bachelor of Engineering - BE,University of Jammu,"Community Manager Certification level 1 Certification, Moderation Certification ",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Datman,2.8,"Continuous Integration and Continuous Delivery (CI/CD), Startups, Mobile Applications, GitHub, Application Programming Interfaces (API), React Native, Node.js, Redux, REST APIs, React.js, JavaScript, Bootstrap, HTML, Cascading Style Sheets (CSS), C (Programming Language)",Bachelor of Technology - BTech,Assam Kaziranga University,,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Recro,4.7,"JavaScriptMVC, REST APIs, SCSS, Tailwind CSS, TypeScript, Redux, Vanilla JavaScript, Flux, React Hooks, Agile Software Development, JavaScript Object Model (JSOM), Document Object Model (DOM), JSON Web Token (JWT), Redux Thunk, Application Programming Interfaces (API), Agile Development, JSON, User Experience (UX), jQuery, Git, GitHub, JavaScript Libraries, Cross-browser Compatibility, HTML/CSS, Software Development, Web Development, Object-Oriented Programming (OOP), User Interface Design, Responsive Web Design, Redux.js, HTML5, Front-End Development, Vue.js, MongoDB, React.js, Bootstrap, Cascading Style Sheets (CSS), HTML, JavaScript, C, MySQL, Electrical Engineering, PLC Programming, C++, SCADA, Electrical Machines, Automotive Electrical Systems",Bachelor of Technology - BTech,"RAJ KUMAR GOEL INSTITUTE OF TECHNOLOGY, GHAZIABAD",PLC-SCADA ,Bengaluru,Karnataka,India,frontendFinal
Senior Frontend Developer,KJBN Labs,3.9,"Spring Boot, Mobile Applications, Flutter - Cross-platform Development, Problem Solving, Data Structures, Core Java, Microservices, DevOps, Programming, NoSQL, GitHub, Unit Testing, Code Review, Performance Monitoring, Firebase, Agile Methodologies, Python - Data science and Machine learning",Bachelor of Technology - BTech,"Indian Institute of Information Technology, Design and Manufacturing, Jabalpur",,Bengaluru,Karnataka,India,frontendFinal
SDE1,ZopSmart,6.4,"Webpack, SASS, Object Oriented Design, Object-Oriented Programming (OOP), Bootstrap (Framework), Agile Development, Application Development, Web Development, Communication, Representational State Transfer (REST), Express.js, Docker Products, Customer-Focused Service, Markup Languages, System Performance, Versioning, JavaScript Frameworks, State Management, Agile Methodologies, User Interface Design, Programming Languages, Design, Software Development Life Cycle (SDLC), Amazon Web Services (AWS), Startups, GitHub, Retrospectives, Hooks, React Hooks, Responsive Web Design, User Experience (UX), Application Programming Interfaces (API), Front-End Development, Web Applications, Coding Experience, Functional Programming, Closures, Document Object Model (DOM), Optimizing Performance, Problem Solving, Code Review, HTML5, Technical Leadership, Software as a Service (SaaS), Software Development, MERN Stack, REST APIs, Cascading Style Sheets (CSS), Jest, Material-UI, Unit Testing, Agile Software Development, Node, Next.js, A-layer, Continuous Integration and Continuous Delivery (CI/CD), Full-Stack Development, Back-End Web Development, Systems Design, Microservices, TypeScript, Node.js, Git, React.js, SQL, C++, Computer Science, Engineering, HTML, C (Programming Language), Microsoft PowerPoint, JavaScript, Microsoft Word, Microsoft Excel, Turbo C, Ethereum, Leadership, Python , Algorithms, Data Structures, Solidity, Programming, Smart Contracts, Remix IDE, Blockchain, Cryptocurrency",Bachelor of Technology - BTech,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY, SULTANPUR","The Complete 2020 Web Development Bootcamp(MERN Stack), Blockchain Basics, Decentralized Applications (Dapps), Smart Contracts, Data Structures and Algorithms",Bengaluru,Karnataka,India,frontendFinal
Associate Consultant,GlobalLogic,10.4,"Redux, React.js, HTML, Cascading Style Sheets (CSS), ColdFusion, SQL, JavaScript, AJAX, jQuery, FW/1 FrameWork",Bachelor of Engineering - BE,Nandha Engineering College,,Bengaluru,Karnataka,India,frontendFinal
,,,"Core Java, Front-End Development, JavaScript, HTML, css, Bootstrap, SQL, React.js, Tailwind CSS, React bootstrap , Node.js, GitHub, Git",Bachelor of Technology - BTech,"Einstein Academy of Technology and Management (EATM), Bhubaneswar",Front-End Software Engineering Virtual Experience Programme,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Lowe's India,4.2,"Apache Druid, Apache Superset, NodeJS, Styled Components, AngularJS, MongoDB, TypeScript, React.js, Ant Design, React JS, Git, Front-End Development, C++, C (Programming Language), GitHub, JavaScript, GraphQL, HTML 5, Cascading Style Sheets (CSS), Express.js",,,,Bengaluru,Karnataka,India,frontendFinal
React Native Developer,Webhibe Technologies,3.8,"Data Analysis, Data Modeling, Tableau, Spreadsheets, TypeScript, Cascading Style Sheets (CSS), Front-End Development, High Level Of Accuracy, Bengali, Handle Multiple Projects, Advance javascript , React.js, Mobile Applications, React Native, JavaScript, HTML5, HTML5 CSS , English, Communication, Microsoft Excel",BCA,Bengal School of Technology and Management 266,Deloitte Australia - Data Analytics Job Simulation,Bengaluru,Karnataka,India,frontendFinal
Technical Specialist,Infosys,5.7,"Engineering, Programming, HTML, HTML5, Cascading Style Sheets (CSS), React.js, JavaScript, Bootstrap, Antd, Ant Design",BE,NMAM Institute of Technology,,Bengaluru,Karnataka,India,frontendFinal
Frontend Engineer,Headout,4.8,"Nextjs, React.js, TypeScript, Front-End Development, Gradle, Oracle Database, Cucumber, API Testing, Selenium, Spring Boot, Java, Angular, Automation, Test Automation, Spring Framework, Spring MVC, C++, AngularJS, Jenkins, SQL, Linux, MySQL, HTML5, JavaScript, Cascading Style Sheets (CSS), Bootstrap, REST APIs, Git, Express.js, QA Automation, Software Development",Bachelor of Technology,Manav Rachna International Institute of Research & Studies,"Architecting with Google Compute Engine Specialization, Certificate of completion of C++ standard template library, Certificate of completion of Data structure and Algorithms,  GCP Essentials , Cloud Study Jam-Kubernetes Engine, Essential Cloud Infrastructure: Foundation by Google Cloud on Coursera, Google Cloud Platform Fundamentals: Core Infrastructure by Google Cloud on Coursera, Blockchain Basics",Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer - II,Rakuten India,6.8,"Software Development, Svelte, SvelteKit, HTML5/CSS3, Web Development, TypeScript, Redux.js, Git, Front-End Development, HTML5, Communication, Cross-team Collaboration, React Native, React.js, HTML, Python, Java, C, Cascading Style Sheets (CSS), SQL, JavaScript, jQuery, Public Speaking, Leadership, Thymeleaf",Bachelor of Engineering - BE,RNS Institute of Technology - India,"Programming for Everybody (Getting Started with Python), Python Data Structures",Bengaluru,Karnataka,India,frontendFinal
Mid level front end developer,repalogic,4.0,"Ui/ux, figma, HTML, Scss, Jira, Component Development, Adobe Illustrator, Adobe Photoshop, Articulate Storyline, HTML5, Cascading Style Sheets (CSS), SASS, JavaScript, AngularJS, PHP, Figma (Software)",specialization,Arena Animation,,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Atlassian,8.9,"JavaScript, React.js, Node.js, Programming, MongoDB, Core Java, SQL Server, Python, MySQL, XML, Git, HTML, CSS, Bootstrap, Problem Solving, Express.js, Microsoft Certified Professional, Web Crawling, Search Engines, Vagrant, Mongoose",Bachelor of Technology (B.Tech.),JECRC University,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Meesho,3.5,"TypeScript, Next.js, React.js, Tailwind CSS, Cypress, Material UI, Jest, Cascading Style Sheets (CSS), Material-UI, JavaScript, HTML5, CSS3, Git, Firebase",Bachelor of Technology - BTech,DIT UNIVERSITY,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Celestial Systems Inc.,4.3,"Front End Engineering Design (FEED), User Experience (UX), Graphical User Interface (GUI), Software Development, User Interface Design, Responsive Web Design, Front-End Development, Bootstrap, React.js, Cypress, Extjs, HTML, css, Adobe XD, figma, JavaScript, Web Development",Bachelors of Engineering,"GLOBAL NATURE CARE GROUP SANGATHAN INSTITUTION, Jabalpur",,Bengaluru,Karnataka,India,frontendFinal
Software Engineer 1,Tekion Corp,3.2,"React.js, JavaScript, HTML5, CSS3, Version Control, Gitlab, MATLAB, Embedded Systems, Electronic Circuit Design, OrCAD, Machine Learning, Java, Python (Programming Language), English",Bachelor of Engineering - BE,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY,Meta Front-End Developer,Bengaluru,Karnataka,India,frontendFinal
Software Engineer - Application Development ,Societe Generale Global Solution Centre,4.9,"Java, Representational State Transfer (REST), User Interface Design, State Management, UI Testing, API Development, Context, Application Programming Interfaces (API), Software Development Methodologies, Agile Software Development, Critical Thinking, Written Communication, Business Profitability, Client Interfacing Skills, Web Components, JavaScript Libraries, Computer Engineering, Programming Languages, Progressive Web Applications (PWAs), Web Technologies, Database Design, Database Management System (DBMS), Cross-browser Compatibility, Teamwork, Jupyter, Web Development, Hooks, Creative Problem Solving, English, Business Requirements, Web Pages, React Hooks, High Performance Computing (HPC), Systems Engineering, Software Implementation, Root Cause Analysis, Root Cause, Elementor, Reliability, Daily Reports, Analytical Skills, Team Leadership, Product Quality, Toolkit, Fundamentals, Tracking Systems, Communication, Knowledge Acquisition, Algorithms, Data Structures, Databases, Interpersonal Communication, Object Oriented Design, System Requirements, MongoDB, Computer-Assisted Telephone Interviewing (CATI), Image Editing, Technical Requirements, JavaScript Object Model (JSOM), Document Object Model (DOM), Unit Testing, Computer Science, Coding Standards, Debugging, Problem Solving, Attention to Detail, git , GitHub, Zeplin, Web Applications, Front-End Development, Front-End Design, Mobile Application Development, Responsive Web Design, Object-Oriented Programming (OOP), SQL, Code Review,  typescript ,  html,  css ,  javascript, HTML,   css, REST APIs, Axios, Redux, MySQL, Manual Testing, Material ui, JSON, npm, Yarn, Bitbucket, Git, JavaScript, Cascading Style Sheets (CSS), HTML5, TypeScript, React.js",Bachelor of Engineering - BE,SJB Institute of Technology,,Bengaluru,Karnataka,India,frontendFinal
Junior Software Engineer,Hutech Solutions,1.8,"Version Control, Responsive Web Design, Cascading Style Sheets (CSS), Bootstrap (Framework), HTML, Front-End Development, JSON, REST APIs, Redux.js, JavaScript Object Model (JSOM), Document Object Model (DOM)",,,"Frontend Developer (React) Certificate, Problem Solving (Basic) Certificate, JavaScript (Basic) Certificate, React (Basic) Certificate, React Native Certification",Bengaluru,Karnataka,India,frontendFinal
,,,"Hibernate, Java, Core Java, JavaScript, SQL, HTML, Cascading Style Sheets (CSS), Java Database Connectivity (JDBC)",Master of Computer Applications - MCA,"Sharnbasva University, Kalaburagi",,Bengaluru,Karnataka,India,frontendFinal
Software Development Engineer - 1,Daakia,4.0,"Webrtc, Next.js, Artificial Intelligence (AI), Leadership, Management, Web Hosting, Financial Planning, Landing Pages, Web Performance, Debugging, Optimization, Cross-browser Compatibility, Code Review, Responsiveness, Agile Development, Skill Development, GitHub, Front-End Design, Microsoft Visual Studio Code, PHP, Team Leadership, Programming, Figma (Software), Bootstrap, English, Web Pages, Computer Science, Front-end Coding, Web Applications, User Interface Design, HTML5, Written Communication, Web Design, HTML, Communication, Responsive Web Design, React.js, JavaScript, Front-End Development, Component Design, Cascading Style Sheets (CSS), Problem Solving, Photography, C (Programming Language), Python (Programming Language), Web Development",Bachelor of Technology - BTech,"Jaypee University of Information Technology, Waknaghat",,Bengaluru,Karnataka,India,frontendFinal
Consultant - RPO,FirstMeridian Business Services Private Limited,1.8,"Microsoft PowerPoint, Microsoft Word, Microsoft Excel, Microsoft Office, Critical Thinking, Front-End Development, Python (Programming Language), SQL, HTML, Web Development, Customer Service, Video Editing, Photography, Communication, Problem Solving, Presentations, Leadership",Bachelor of Technology - BTech,"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, Ongole",,Chittoor,Andhra Pradesh,India,frontendFinal
Software Engineer,Boston Consulting Group (BCG),13.6,"Django REST Framework, react, Django, Material-UI, mui, software engineer, Software, Software Infrastructure, JavaScript, React.js, Next.js, Node.js, TypeScript, Python (Programming Language), Chakra UI, Front-end Development, SQL, Express.js, User Interface Design, JSON, Programming, Angular, Vue.js, Front-End Development, Web Development, Object-Oriented Programming (OOP), Redux.js, Debugging, Jest, Software Development Life Cycle (SDLC), Tailwind CSS, Agile Methodologies, Software Development, npm, Data Structures, Git, MongoDB, GitHub, Algorithms, Software Project Management, MySQL, C++, HTML5, Cascading Style Sheets (CSS), Computer Networking, Circuit Design, Embedded Systems, Linux, Problem Solving, Management, Public Speaking, Teamwork, Communication",Bachelor of Technology,Manipal Institute of Technology,"JSON essentials, Javascript, CI/CD with GitHub Actions, JavaScript Essential Training, Learning npm the Node Package Manager, Git for Developers Using Github, Data Structures & Algorithms using C and C++, Programming Foundations: Algorithms, Software Development Life Cycle (SDLC), The Data Scientist’s Toolbox, Algorithmic Toolbox, Programming for Everybody (Getting Started with Python), Python Data Structures, AI For Everyone, Internet Connection: How to Get Online?, Introduction To Computer Networks, Socket Programming, Technical Support Fundamentals, Introduction to the Internet of Things and Embedded Systems",Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Rakuten,9.2,"Next.js, Java, JavaScript, SQL, Software Development, Spring Framework, Cascading Style Sheets (CSS), Oracle SQL Developer, Hibernate, React.js, Node.js",BE - Bachelor of Engineering,"The National Institute Of Engineering, Mysore",,Bengaluru,Karnataka,India,frontendFinal
Frontend Web Developer,Varcons Technologies,1.2,"Database Development, Computer Science, Extract, Transform, Load (ETL), MSQL, PostgreSQL, HTML, Django, Visualization, EDA, Power Analysis, Database Analysis, Microsoft Office, Microsoft Excel, Microsoft Power BI, Python (Programming Language), SQL, Statistical Tools, Databases, Data Analytics, Analytical Skills, Tableau",Bachelor of Engineering - BE,Visvesvaraya Technological University,"Data Analytics, Excel, Data Visualization, SQL, Introduction to Programming Using Python",Bengaluru,Karnataka,India,frontendFinal
Frontend Web Developer Trainee,Infocampus Software Training Institute,0.8,"Appium, Web Testing, Selenium WebDriver, Test Automation Frameworks, Bug Tracking, Mobile Testing, Non-functional Testing, Software Development Life Cycle (SDLC), Automation, Performance Testing, Quality Engineering, Unit Testing, API Testing, GitHub, Mobile Automation, XPath, Sprint Planning, QA Engineering, Application Programming Interfaces (API), Use Cases, Agile Environment, Test Scripts, Software Quality Assurance, Quality Assurance Testing, User Stories, Software Testing Life Cycle (STLC), Confluence, Test Execution, Computer Science, Test Cases, Software Testing, Test Requirements, C#, Regression Testing, Functional Testing, Quality Assurance, Manual Testing, Object-Oriented Programming (OOP), Test Planning, Maven, QA Automation, User Acceptance Testing, Cucumber, Core Java, Verification and Validation (V&V), Test Automation, Jira, Agile Methodologies, Selenium, Java, SQL, Manul Testing , Git, Bootstrap (Framework), Cascading Style Sheets (CSS), HTML, Web Applications, JavaScript, HTML5",Bachelor of Technology - BTech,"Aryabhatta Knowledge University, Patna",,Bengaluru,Karnataka,India,frontendFinal
Frontend Web Developer,L&T Technology Services,14.8,"Bitbucket, Git, Jira, Cascading Style Sheets (CSS), HTML5 , React.js, SCSS, Material-UI, HTML5, CSS3, JavaScript, jquery, Bootstrap",BE,Yellamma Dasappa College of Engineering,,Bengaluru,Karnataka,India,frontendFinal
Admin Dashboard,"React, React Router",,"Data Visualization, Analytical Skills, Web Application Development, Routers, Material-UI, React Hooks, LiveCode, English Translation, User Interaction, Real-time Data, Efficacy, Software Craftsmanship, Real-time Web, Dashboards, Front-End Development, E-commerce SEO, Competition Research, Web Technologies, Software Solution Development, E-Commerce, User Experience Testing, Code Review, Web Application Design, Agile Project Management, Optimizing Performance, User Interface Design, Software Development Life Cycle (SDLC), Drawing, Web Development, Critical Thinking, Tailwind CSS, Kannada, Engineering Education, Easily Adaptable, News Anchoring, Debugging, Version Control, JSON, ECMAScript, Document Object Model (DOM), Cascading Style Sheets (CSS), HTML5, JavaScript, React.js, Redux.js, HTML, Responsive Web Design, Bootstrap (Framework), GitHub",S.S.L.C,Nandi High School,,Bengaluru,Karnataka,India,frontendFinal
SDE 3,Glance,5.2,"Nodejs, Docker, Helm Charts, JavaScript, React.js, Front-end Development, Object-Oriented Programming (OOP), Node.js, Vue.js, REST API, HTML5, Cascading Style Sheets (CSS), MongoDB, Adobe XD, NoSQL, AJAX, JSON, Github, Bootstrap, Express.js, Back-End Web Development, Web Application Development, Web Application Design, Functional Programming, UI UX Design, SCSS, Responsive Web Design, Front-end Coding, Software Development, User Interface Design, styled-components, TypeScript, Next.js, Redux.js, User Experience (UX), Application Development, Engineering, Server Side JavaScript, Gatsby, Material-UI, Ant Design",Bachelor of Engineering - BE,Rajiv Gandhi Prodyogiki Vishwavidyalaya,,Bengaluru,Karnataka,India,frontendFinal
PS engineer,FirstHive | Customer Data Platform,3.2,"HTML5, React.js, JavaScript, Cascading Style Sheets (CSS)",Bachelor of Technology - BTech,Vishnu Institute of Technology (Autonomous) ,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,DIDECCAN INDIA SOFTWARE TECHNOLOGIES PVT LTD,4.2,"Redux, jQuery, AEM, JavaScript, Next.js, React.js, React Native, Adobe Experience Manager (AEM), Front-End Development, PL/SQL",Bachelor of Science - BS,The Oxford college of science,,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Wissen Infotech,4.0,"Bootstrap , Ag-grid, Css3, JavaScript , REST APIs, Git, User Interface Design, Technical Specs, Debugging, Responsive Web Design, RxJS, Model-View-Controller (MVC), TypeScript, Angular, Web Development, Analytical Skills, HTML5, Cascading Style Sheets (CSS), JavaScript, AJAX, JSON, Bootstrap, HTML, Front-End Development",Bachelor's degree,Vikrama Simhapuri University,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Kaplan,3.3,"Web Application Development, GitHub, Quality Assurance, Agile Methodologies, Figma (Software), Front-end Coding, Front-End Development, Responsive Web Design, Communication, User Experience (UX), Angular CLI, Angular Material, AngularJS, React.js, Redux.js, TypeScript, JavaScript, HTML5, Cascading Style Sheets (CSS), SASS",Bachelor of Engineering - BE,Property Consultant ,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,GigLabz,4.8,"styled-components, REST APIs, Unit Testing, Representational State Transfer (REST), Git, SASS, Responsive Web Design, TypeScript, Cascading Style Sheets (CSS), JavaScript, React.js, Web Development, Front-end Development, Bootstrap, Redux, Firebase, HTML, Problem Solving, MERN Stack, Material-UI, NextJS, GitHub, Gitlab, Sassy CSS, Webpack",Bachelor of Technology - BTech,SRM IST Chennai,,Bengaluru,Karnataka,India,frontendFinal
SWE III,Google,6.5,"Responsiveness, Microsoft Visual Studio Code, Front-End Design, JavaScript Object Model (JSOM), Document Object Model (DOM), npm, REST APIs, GitHub, Jira, Cross-browser Compatibility, Communication, User Experience (UX), Benchmarking, Debugging, GraphQL, Bootstrap (Framework), Unit Testing, Web Technologies, styled-components, Next.js, Semantic UI, Problem Solving, Optimizing Performance, ECMAScript, Critical Thinking, Build Tools, TypeScript, Software Engineering Practices, Software Development, Object-Oriented Programming (OOP), Webpack, Git, React Native, Redux.js, Web Development, JavaScript, React.js, HTML, Cascading Style Sheets (CSS), Functional Programming, Front-End Development, Web Performance, Web Application Security, Node.js, Back-End Web Development, Software Design Patterns, Google Ads, Google Analytics, Search Engine Optimization (SEO), Chrome Developer Tools",Bachelor of Technology,"Indian Institute of Technology, Roorkee","Object-Oriented Design, Programming Foundations: Web Security, Algorithmic Toolbox, Learning Chrome Web Developer Tools, Learning Enterprise Web Application Performance, Learning webpack 4, Vanilla JavaScript: Progressive Web Applications, Advanced SEO: Developing an SEO-Friendly Website, JavaScript: Patterns, Learning Functional Programming with JavaScript ES6+, Advanced Node.js, Certificate of Completion, Python for Data Science and Machine Learning",Bengaluru,Karnataka,India,frontendFinal
